goos: darwin
goarch: arm64
pkg: go-microbenchmarks-benchstat/across_cases
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=protobuf-2          	   18547	    318587 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=protobuf-2          	   16562	    326151 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=protobuf-2          	   18541	    313502 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=protobuf-2          	   19021	    317065 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=protobuf-2          	   19222	    312331 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=protobuf-2          	   18855	    317820 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2        	   29096	    202393 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2        	   29348	    216240 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2        	   28030	    209710 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2        	   29553	    206634 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2        	   28772	    208313 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2        	   28770	    210653 ns/op	    180807 bytes/message	  188416 B/op	       1 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=protobuf-2           	    3607	   1549449 ns/op	    146699 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=protobuf-2           	    3886	   1531672 ns/op	    146652 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=protobuf-2           	    3910	   1503114 ns/op	    146622 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=protobuf-2           	    3907	   1571064 ns/op	    146512 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=protobuf-2           	    3908	   1517201 ns/op	    146623 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=protobuf-2           	    3925	   1606669 ns/op	    146583 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=vtprotobuf-2         	    7399	    835911 ns/op	    146633 bytes/message	 3604480 B/op	       2 allocs/op
